,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6516,950,Isabel,@G_ISABELRS,2021-02-15,definitivamente mamertos mas desagradecidos ahora hablan chimbada llego vacuna colombia hijueputas sirve
6517,951,Stream 'El madrileño' de C. Tangana o moriré.,@ColorLenteja,2021-02-15,dizque cumplimos colombia llegada super tarde cantidad risible dosis vacuna coman mierda
6518,952,Andres Felipe Arcos,@AndresFelipe,2021-02-15,colombia ultimos recibir vacuna si verdad asi verdad paises iniciaron vacunar diciembreenero actualmente estancaron mientras colombia iniciara vacunacion 5 dias manera continua vacunar 35 millones personas 2021
6519,953,Alberto Bernal,@AlbertoBernalLe,2021-02-15,si vacuna pues puede dejar vacunar gobierno duque tendiendo cuenta mamertdorf debe tener ahi 20 millones habitantes pues entonces colombia ex va vacunado ahi septiembre
6520,954,Carolina Trinidad C.,@CaroTrinidadC,2021-02-15,confirma primera vacuna colombia aplicara jefe enfermeria
6521,955,William Mantilla Rueda,@williamhhhh,2021-02-15,v vacuna v victoria presidente ivan duque hoy comienza principio fin covid19 colombia victoria ciencia humanidad esperanzador arribo 50 mil vacunas pfizer colombia
6522,956,Richie,@ritchiram,2021-02-15,hoy dia aca abrazo gigante va quitar felicidad saber vacuna llego colombia gracias ud ud vergenza
6523,957,Chefluiferguzman,@Chefluiferguzm1,2021-02-15,bienvenida vacuna colombia gracias dios sido ano dificil llego esperanza llego enemigo silencioso covid
6524,958,𝝿ρ𝔟𝔬 ™,@___juano,2021-02-15,putas dice suministrara 35 millones colombianos senor presidente 15 millones habitantes pais segun rondanos 50 millones habitantes
6525,959,Walpomeza,@walpomeza,2021-02-15,excelente llegada vacuna colombia triunfo nacional hoy manana siempre dios estara lado bien republica cumpla prorroga gobierno
6526,960,andres paz,@andrespaz26,2021-02-15,llega dia hoy vacuna colombia ahora responsabilidad vacunarse
6527,961,RicardoGonzálezDuque,@RicardoGonDuq,2021-02-15,nueve cajas provenientes puurs belgica fabrica pfizer llegan 50 mil dosis vacuna anticovid colombia
6528,962,July,@PULGARIN_JULY,2021-02-15,entiendo mayoria alardeando brincando llegada unas pocas vacuna alcanzan vacunar 1 poblacion pais sido ultimos comenzar vacunacion ademas plena pandemia saca reforma tributaria
6529,963,Esperanza Rico Laverde,@EsperanzaRicoL,2021-02-15,llegaron colombia primeras 50000 dosis vacuna pfizer covid
6530,964,Paloma Papi,@jechitivaz,2021-02-15,ay esperando duque equivocara diciendo v vacuna v victoria v colombia
6531,965,Manuel Cely,@ManuelCely10,2021-02-15,expectativa vacuna combatir covid19 colombia empezaron llegar importante destinacion convierta negocio politico economico vida negociable
6532,966,Jaime Zapata,@JaimeRisk,2021-02-15,di colombia humana decir colombia humana covax vacuna
6533,967,Karlos Pérez,@KarlosPrez8,2021-02-15,presidente danaron vacunas hablo mucha paja sacaron avion
6534,968,colombia first,@1DirectionCO,2021-02-15,colombia vacuna colombia 50000 personas 52 millones
6535,969,Victor Martinez,@VictorM34925770,2021-02-15,bueno trajeron vacuna pzifer obstante trajeron pocas iniciar etapa inmunizacion trabajadores salud traer inicialmente 50000 dosis pais 50 millones habitantes colombia desacierto inmenso peor
